Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,104,8,Some Random Commen with Id 0
1,0,6,165,4,Some Random Commen with Id 1
2,0,6,135,9,Some Random Commen with Id 2
3,1,4,197,2,Some Random Commen with Id 3
4,2,9,180,9,Some Random Commen with Id 4
5,2,9,193,7,Some Random Commen with Id 5
6,2,9,52,7,Some Random Commen with Id 6
7,2,9,66,5,Some Random Commen with Id 7
8,3,3,124,3,Some Random Commen with Id 8
9,4,7,12,5,Some Random Commen with Id 9
10,4,7,84,6,Some Random Commen with Id 10
11,4,7,104,1,Some Random Commen with Id 11
12,4,7,1,1,Some Random Commen with Id 12
13,4,7,190,4,Some Random Commen with Id 13
14,4,7,133,9,Some Random Commen with Id 14
15,5,2,23,9,Some Random Commen with Id 15
16,6,5,51,8,Some Random Commen with Id 16
17,6,5,194,0,Some Random Commen with Id 17
18,6,5,160,6,Some Random Commen with Id 18
19,6,5,77,6,Some Random Commen with Id 19
20,6,5,134,6,Some Random Commen with Id 20
21,6,5,19,1,Some Random Commen with Id 21
22,7,5,145,5,Some Random Commen with Id 22
23,7,5,32,1,Some Random Commen with Id 23
24,7,5,28,3,Some Random Commen with Id 24
25,7,5,65,5,Some Random Commen with Id 25
26,7,5,181,3,Some Random Commen with Id 26
27,7,5,102,4,Some Random Commen with Id 27
28,8,0,105,0,Some Random Commen with Id 28
29,10,1,67,2,Some Random Commen with Id 29
30,10,1,180,7,Some Random Commen with Id 30
31,10,1,154,1,Some Random Commen with Id 31
32,10,1,37,4,Some Random Commen with Id 32
33,10,1,76,6,Some Random Commen with Id 33
34,10,1,99,5,Some Random Commen with Id 34
35,10,1,79,3,Some Random Commen with Id 35
36,11,5,171,1,Some Random Commen with Id 36
37,11,5,82,4,Some Random Commen with Id 37
38,12,8,37,7,Some Random Commen with Id 38
39,12,8,99,9,Some Random Commen with Id 39
40,12,8,181,9,Some Random Commen with Id 40
41,12,8,143,3,Some Random Commen with Id 41
42,12,8,78,6,Some Random Commen with Id 42
43,12,8,152,3,Some Random Commen with Id 43
44,12,8,123,0,Some Random Commen with Id 44
45,13,8,77,7,Some Random Commen with Id 45
46,13,8,114,2,Some Random Commen with Id 46
47,13,8,158,2,Some Random Commen with Id 47
48,13,8,36,6,Some Random Commen with Id 48
49,13,8,156,7,Some Random Commen with Id 49
50,13,8,192,1,Some Random Commen with Id 50
51,13,8,193,5,Some Random Commen with Id 51
52,14,1,166,6,Some Random Commen with Id 52
53,14,1,46,4,Some Random Commen with Id 53
54,14,1,112,7,Some Random Commen with Id 54
55,14,1,16,6,Some Random Commen with Id 55
56,14,1,19,0,Some Random Commen with Id 56
57,14,1,159,2,Some Random Commen with Id 57
58,14,1,90,4,Some Random Commen with Id 58
59,14,1,38,8,Some Random Commen with Id 59
60,15,9,18,1,Some Random Commen with Id 60
61,15,9,66,7,Some Random Commen with Id 61
62,15,9,114,9,Some Random Commen with Id 62
63,15,9,83,3,Some Random Commen with Id 63
64,15,9,64,9,Some Random Commen with Id 64
65,15,9,81,0,Some Random Commen with Id 65
66,15,9,6,4,Some Random Commen with Id 66
67,16,2,84,9,Some Random Commen with Id 67
68,16,2,133,9,Some Random Commen with Id 68
69,16,2,134,9,Some Random Commen with Id 69
70,17,4,113,8,Some Random Commen with Id 70
71,17,4,29,9,Some Random Commen with Id 71
72,17,4,134,5,Some Random Commen with Id 72
73,17,4,101,3,Some Random Commen with Id 73
74,17,4,151,1,Some Random Commen with Id 74
75,18,6,135,8,Some Random Commen with Id 75
76,18,6,148,3,Some Random Commen with Id 76
77,19,8,152,3,Some Random Commen with Id 77
78,19,8,26,5,Some Random Commen with Id 78
79,19,8,56,8,Some Random Commen with Id 79
80,19,8,57,4,Some Random Commen with Id 80
81,19,8,18,0,Some Random Commen with Id 81
82,19,8,43,5,Some Random Commen with Id 82
83,19,8,46,3,Some Random Commen with Id 83
84,19,8,28,9,Some Random Commen with Id 84
85,19,8,136,7,Some Random Commen with Id 85
86,20,7,190,2,Some Random Commen with Id 86
87,20,7,102,0,Some Random Commen with Id 87
88,22,7,139,9,Some Random Commen with Id 88
89,22,7,119,4,Some Random Commen with Id 89
90,22,7,176,4,Some Random Commen with Id 90
91,22,7,113,4,Some Random Commen with Id 91
92,22,7,96,0,Some Random Commen with Id 92
93,23,8,9,4,Some Random Commen with Id 93
94,23,8,36,7,Some Random Commen with Id 94
95,23,8,140,2,Some Random Commen with Id 95
96,23,8,60,2,Some Random Commen with Id 96
97,23,8,39,5,Some Random Commen with Id 97
98,23,8,156,7,Some Random Commen with Id 98
99,23,8,119,3,Some Random Commen with Id 99
100,23,8,171,1,Some Random Commen with Id 100
101,24,6,186,7,Some Random Commen with Id 101
102,24,6,2,4,Some Random Commen with Id 102
103,24,6,31,8,Some Random Commen with Id 103
104,24,6,6,7,Some Random Commen with Id 104
105,24,6,134,1,Some Random Commen with Id 105
106,24,6,34,4,Some Random Commen with Id 106
107,24,6,27,2,Some Random Commen with Id 107
108,25,7,13,9,Some Random Commen with Id 108
109,25,7,126,8,Some Random Commen with Id 109
110,25,7,140,9,Some Random Commen with Id 110
111,25,7,77,5,Some Random Commen with Id 111
112,25,7,155,2,Some Random Commen with Id 112
113,25,7,92,6,Some Random Commen with Id 113
114,25,7,49,4,Some Random Commen with Id 114
115,26,5,121,0,Some Random Commen with Id 115
116,26,5,159,9,Some Random Commen with Id 116
117,26,5,41,5,Some Random Commen with Id 117
118,26,5,125,5,Some Random Commen with Id 118
119,26,5,71,5,Some Random Commen with Id 119
120,26,5,179,3,Some Random Commen with Id 120
121,26,5,63,2,Some Random Commen with Id 121
122,26,5,104,1,Some Random Commen with Id 122
123,26,5,2,1,Some Random Commen with Id 123
124,27,1,185,9,Some Random Commen with Id 124
125,27,1,55,9,Some Random Commen with Id 125
126,27,1,47,6,Some Random Commen with Id 126
127,27,1,89,8,Some Random Commen with Id 127
128,28,6,85,4,Some Random Commen with Id 128
129,28,6,189,9,Some Random Commen with Id 129
130,28,6,5,1,Some Random Commen with Id 130
131,28,6,153,2,Some Random Commen with Id 131
132,28,6,171,3,Some Random Commen with Id 132
133,29,1,134,1,Some Random Commen with Id 133
134,29,1,131,2,Some Random Commen with Id 134
135,29,1,88,4,Some Random Commen with Id 135
136,29,1,23,8,Some Random Commen with Id 136
137,29,1,147,2,Some Random Commen with Id 137
138,29,1,38,4,Some Random Commen with Id 138
139,29,1,1,3,Some Random Commen with Id 139
140,30,0,59,0,Some Random Commen with Id 140
141,30,0,193,5,Some Random Commen with Id 141
142,30,0,161,7,Some Random Commen with Id 142
143,31,2,128,2,Some Random Commen with Id 143
144,31,2,100,9,Some Random Commen with Id 144
145,31,2,178,5,Some Random Commen with Id 145
146,31,2,162,6,Some Random Commen with Id 146
147,31,2,128,3,Some Random Commen with Id 147
148,32,6,18,5,Some Random Commen with Id 148
149,32,6,25,8,Some Random Commen with Id 149
150,32,6,78,4,Some Random Commen with Id 150
151,32,6,48,1,Some Random Commen with Id 151
152,32,6,143,4,Some Random Commen with Id 152
153,32,6,198,0,Some Random Commen with Id 153
154,32,6,5,2,Some Random Commen with Id 154
155,33,0,106,0,Some Random Commen with Id 155
156,33,0,105,0,Some Random Commen with Id 156
157,33,0,37,2,Some Random Commen with Id 157
158,34,8,103,7,Some Random Commen with Id 158
159,34,8,28,9,Some Random Commen with Id 159
160,34,8,83,8,Some Random Commen with Id 160
161,34,8,169,0,Some Random Commen with Id 161
162,34,8,51,3,Some Random Commen with Id 162
163,34,8,90,4,Some Random Commen with Id 163
164,35,1,66,9,Some Random Commen with Id 164
165,35,1,148,8,Some Random Commen with Id 165
166,35,1,89,2,Some Random Commen with Id 166
167,35,1,3,5,Some Random Commen with Id 167
168,35,1,72,3,Some Random Commen with Id 168
169,35,1,36,5,Some Random Commen with Id 169
170,35,1,80,7,Some Random Commen with Id 170
171,35,1,87,1,Some Random Commen with Id 171
172,35,1,194,1,Some Random Commen with Id 172
173,36,4,65,4,Some Random Commen with Id 173
174,36,4,77,5,Some Random Commen with Id 174
175,36,4,196,7,Some Random Commen with Id 175
176,36,4,167,6,Some Random Commen with Id 176
177,36,4,23,3,Some Random Commen with Id 177
178,38,9,70,1,Some Random Commen with Id 178
179,38,9,1,2,Some Random Commen with Id 179
180,38,9,130,0,Some Random Commen with Id 180
181,38,9,9,8,Some Random Commen with Id 181
182,38,9,43,3,Some Random Commen with Id 182
183,38,9,93,1,Some Random Commen with Id 183
184,38,9,50,3,Some Random Commen with Id 184
185,38,9,77,2,Some Random Commen with Id 185
186,39,7,197,6,Some Random Commen with Id 186
187,39,7,153,4,Some Random Commen with Id 187
188,39,7,53,3,Some Random Commen with Id 188
